Model,Tile_N,Tile_K,Latency
gemma_2_2b_quant,64,4096,0.040108520744754024
gemma_2_2b_quant,64,2048,0.026513618617094448
gemma_2_2b_quant,64,1024,0.01971824840432849
gemma_2_2b_quant,32,4096,0.040035805851137
gemma_2_2b_quant,32,2048,0.02654668244688168
gemma_2_2b_quant,32,1024,0.01987304840432849
gemma_2_2b_quant,128,1024,0.019822265425605088
gemma_2_2b_quant,16,4096,0.042536580319222105
gemma_2_2b_quant,64,512,0.020033210106456152
gemma_2_2b_quant,128,2048,0.026723363297945512
gemma_2_2b_quant,128,512,0.01972953351071147
gemma_2_2b_quant,128,4096,0.0401082143617753
gemma_2_2b_quant,128,256,0.020357822872413597
gemma_2_2b_quant,16,2048,0.029101278191562538
gemma_2_2b_quant,256,1024,0.02003185691496679
gemma_2_2b_quant,256,512,0.019832682446881682
gemma_2_2b_quant,256,2048,0.02672285265964764
gemma_2_2b_quant,256,4096,0.04010790797879658
gemma_2_2b_quant,256,256,0.019749346276668918
gemma_2_2b_quant,16,1024,0.022512384574541258
gemma_2_2b_quant,32,512,0.020009873936243386
gemma_2_2b_quant,512,512,0.020041712234115727
gemma_2_2b_quant,512,256,0.01985213776603062
gemma_2_2b_quant,512,1024,0.020030682446881682
gemma_2_2b_quant,256,128,0.021004290957519982
gemma_2_2b_quant,512,128,0.019787593085179557
gemma_2_2b_quant,64,256,0.020326469680924233
gemma_2_2b_quant,512,2048,0.02672188244688168
gemma_2_2b_quant,512,4096,0.04010703989369019
gemma_2_2b_quant,128,128,0.020973754787307217
gemma_2_2b_quant,1024,128,0.026433652659647644
gemma_2_2b_quant,1024,1024,0.025883516489434873
gemma_2_2b_quant,1024,256,0.026523550531988065
gemma_2_2b_quant,1024,512,0.026306018617094445
gemma_2_2b_quant,1024,64,0.026412410106456154
gemma_2_2b_quant,512,64,0.022295848404328494
gemma_2_2b_quant,1024,2048,0.03173977180858381
gemma_2_2b_quant,1024,4096,0.04010599308517956
gemma_2_2b_quant,2048,256,0.03300967819156254
gemma_2_2b_quant,2048,512,0.03258309095751998
gemma_2_2b_quant,2048,128,0.03323456329794551
gemma_2_2b_quant,2048,64,0.0331601888298604
gemma_2_2b_quant,1024,32,0.03136029095751998
gemma_2_2b_quant,2048,1024,0.03174232500007317
gemma_2_2b_quant,2048,2048,0.04010846968092424
gemma_2_2b_quant,256,64,0.022265567553264663
gemma_2_2b_quant,2048,32,0.0364446143617753
gemma_2_2b_quant,4096,128,0.04639330372347743
gemma_2_2b_quant,4096,64,0.04660756755326466
gemma_2_2b_quant,4096,256,0.04597243563837104
gemma_2_2b_quant,4096,32,0.049786571808583806
gemma_2_2b_quant,4096,512,0.04513412074475402
gemma_2_2b_quant,4096,1024,0.04346001861709445
gemma_2_2b_quant,1024,16,0.019802707978796574
gemma_2_2b_quant,4096,16,0.05299583138305189
gemma_2_2b_quant,2048,16,0.039514980319222105
gemma_2_2b_quant,512,32,0.0248478143617753
gemma_2_2b_quant,16,512,0.02284486117028594
gemma_2_2b_quant,32,256,0.020342350531988067
gemma_2_2b_quant,64,128,0.0209718143617753
gemma_2_2b_quant,128,64,0.022271082446881682
gemma_2_2b_quant,256,32,0.02486042712773275
gemma_2_2b_quant,512,16,0.019795354787307214
gemma_2_2b_quant,16,256,0.02358995904262636
gemma_2_2b_quant,256,16,0.019954214361775302
gemma_2_2b_quant,32,128,0.021061303723477427
gemma_2_2b_quant,64,64,0.022332154787307212
gemma_2_2b_quant,128,32,0.024947746276668917
gemma_2_2b_quant,128,16,0.01996085265964764
gemma_2_2b_quant,16,128,0.02497057180858381
gemma_2_2b_quant,32,64,0.02248197606390296
gemma_2_2b_quant,64,32,0.024982469680924234
gemma_2_2b_quant,16,64,0.01809089521283913
gemma_2_2b_quant,64,16,0.020083916489434875
gemma_2_2b_quant,32,32,0.025329142021349768
llama2_quant,32,4096,0.0912205021276599
llama2_quant,32,2048,0.06429778723404289
llama2_quant,16,4096,0.10092482553191523
llama2_quant,16,2048,0.07408685106383012
llama2_quant,32,1024,0.06508166808510671
llama2_quant,16,1024,0.07578536170212799
llama2_quant,32,512,0.0657605361702131
llama2_quant,64,1024,0.06432434042553226
llama2_quant,64,2048,0.06445225531914928
llama2_quant,64,512,0.06571562553191523
llama2_quant,64,4096,0.09142886808510671
llama2_quant,64,256,0.06702107234042587
llama2_quant,16,512,0.07725094468085139
llama2_quant,32,256,0.06718039148936203
llama2_quant,128,256,0.0670117276595748
llama2_quant,128,512,0.06436641702127693
llama2_quant,128,1024,0.06447518297872373
llama2_quant,128,2048,0.06466023829787268
llama2_quant,128,4096,0.09184593191489396
llama2_quant,64,128,0.0697129531914897
llama2_quant,128,128,0.06962272340425565
llama2_quant,128,64,0.07491824680851097
llama2_quant,256,128,0.06959841702127692
llama2_quant,256,64,0.07480754042553225
llama2_quant,256,512,0.06451552340425565
llama2_quant,256,256,0.06444505531914926
llama2_quant,256,1024,0.06468137872340458
llama2_quant,256,2048,0.06507541276595778
llama2_quant,256,4096,0.09184348085106417
llama2_quant,512,32,0.08514806808510672
llama2_quant,512,64,0.07476903829787268
llama2_quant,512,128,0.06459957446808544
llama2_quant,512,2048,0.06507347234042586
llama2_quant,512,4096,0.09184194893617055
llama2_quant,1024,2048,0.06507204255319182
llama2_quant,512,1024,0.06509553191489395
llama2_quant,1024,1024,0.06509348936170246
llama2_quant,1024,4096,0.09184062127659608
llama2_quant,512,256,0.06459344680851098
llama2_quant,1024,512,0.06513638297872373
llama2_quant,512,512,0.06472090212765991
llama2_quant,1024,256,0.06480301276595778
llama2_quant,2048,2048,0.06841171914893651
llama2_quant,2048,512,0.07094581276595778
llama2_quant,2048,1024,0.07009304680851097
llama2_quant,2048,256,0.07139640000000033
llama2_quant,1024,128,0.06475725957446841
llama2_quant,2048,128,0.07125176170212799
llama2_quant,4096,64,0.09815300425531949
llama2_quant,2048,64,0.07127137021276629
llama2_quant,4096,128,0.09823718297872373
llama2_quant,4096,1024,0.09519674042553225
llama2_quant,4096,512,0.09688603404255353
llama2_quant,4096,256,0.09775473191489395
llama2_quant,2048,32,0.07141516595744714
llama2_quant,4096,32,0.09829680000000032
llama2_quant,1024,64,0.06492638297872375
llama2_quant,4096,16,0.12475521702127693
llama2_quant,2048,16,0.06416982127659608
llama2_quant,1024,32,0.08514765957446842
llama2_quant,256,32,0.08532362553191522
llama2_quant,1024,16,0.06415511489361736
llama2_quant,512,16,0.06439531914893651
llama2_quant,256,16,0.06440951489361735
llama2_quant,16,256,0.08001538723404289
llama2_quant,32,128,0.07004777872340459
llama2_quant,64,64,0.07510626382978756
llama2_quant,128,32,0.08538480000000033
gemma_2_2b_quant,16,32,0.02325674202134977
gemma_2_2b_quant,32,16,0.020741159042626363
llama2_quant,128,16,0.06465748085106417
llama2_quant,16,128,0.08570435744680885
llama2_quant,32,64,0.0756469531914897
llama2_quant,64,32,0.08572805106383012
llama2_quant,64,16,0.06531467234042587
llama2_quant,16,64,0.05712015319148969
gemma_2_2b_quant,16,16,0.03391069946815828
llama2_quant,32,32,0.08691837446808544
