Model,Output_Length,Block_Size,Latency
gpt_neo_quant,1K,512,0.01308638297872422
gpt_neo,1K,512,0.044749582978724216
llama2_quant,1K,512,0.043882365957448335
llama2,1K,512,0.17005460425532068
gpt3_quant,1K,512,0.06717344680928838
gpt3,1K,512,0.26618982127737345
gpt_neo_quant,1K,576,0.013172374468085921
gpt_neo,1K,576,0.04484282553191571
llama2_quant,1K,576,0.0441440680851079
llama2,1K,576,0.17115840000000151
gpt3_quant,1K,576,0.06762944680928838
gpt3,1K,576,0.2652342127667352
gpt_neo_quant,1K,640,0.013187591489362518
gpt_neo,1K,640,0.04489572765957529
llama2_quant,1K,640,0.044106229787235565
llama2,1K,640,0.17109232340425684
gpt3_quant,1K,640,0.06777610212843732
gpt3,1K,640,0.2645352510646075
gpt_neo_quant,1K,704,0.013319285106383793
gpt_neo,1K,704,0.04531741276595826
llama2_quant,1K,704,0.04459348085106535
llama2,1K,704,0.17282364255319302
gpt3_quant,1K,704,0.06844759149013944
gpt3,1K,704,0.26798343829865007
gpt_neo_quant,1K,768,0.01332209361702209
gpt_neo,1K,768,0.04535540425531996
llama2_quant,1K,768,0.04476924255319301
llama2,1K,768,0.17330001702127812
gpt3_quant,1K,768,0.06840428936247987
gpt3,1K,768,0.26812840851141606
gpt_neo_quant,1K,832,0.013231863829788047
gpt_neo,1K,832,0.04492345531914975
llama2_quant,1K,832,0.0443377021276611
llama2,1K,832,0.1714204595744696
gpt3_quant,1K,832,0.06788348936247987
gpt3,1K,832,0.2653056510646075
gpt_neo_quant,1K,896,0.013458025531915708
gpt_neo,1K,896,0.046072748936171026
llama2_quant,1K,896,0.04517040000000152
llama2,1K,896,0.17438828936170364
gpt3_quant,1K,896,0.06905310638375647
gpt3,1K,896,0.2747422978731182
gpt_neo_quant,1K,960,0.013439591489362517
gpt_neo,1K,960,0.04575691914893698
llama2_quant,1K,960,0.04516171914893769
llama2,1K,960,0.17409998297872492
gpt3_quant,1K,960,0.06908461276673519
gpt3,1K,960,0.2742458042560969
gpt_neo_quant,1K,1K,0.013249378723405071
gpt_neo,1K,1K,0.045152782978724215
llama2_quant,1K,1K,0.04451065531915046
llama2,1K,1K,0.17261514893617175
gpt3_quant,1K,1K,0.06827193191567135
gpt3,1K,1K,0.2716360851071607
gpt_neo_quant,1K,1088,0.013457923404256134
gpt_neo,1K,1088,0.04602750638297953
llama2_quant,1K,1088,0.04520471489361854
llama2,1K,1088,0.17509628936170366
gpt3_quant,1K,1088,0.06950558297950116
gpt3,1K,1088,0.2757190468092884
gpt_neo_quant,1K,1152,0.01338653617021358
gpt_neo,1K,1152,0.04581252765957528
llama2_quant,1K,1152,0.04505264680851216
llama2,1K,1152,0.17415758297872494
gpt3_quant,1K,1152,0.06900357446886285
gpt3,1K,1152,0.26945351489439473
gpt_neo_quant,1K,1216,0.013273685106383793
gpt_neo,1K,1216,0.04513200000000081
llama2_quant,1K,1216,0.04454052765957599
llama2,1K,1216,0.17224503829787385
gpt3_quant,1K,1216,0.06838948085184157
gpt3,1K,1216,0.2666254978731182
gpt_neo_quant,1K,1280,0.013531251063830602
gpt_neo,1K,1280,0.046157514893617836
llama2_quant,1K,1280,0.04534299574468237
llama2,1K,1280,0.1759336851063845
gpt3_quant,1K,1280,0.06956588936247987
gpt3,1K,1280,0.27196452766035223
gpt_neo_quant,1K,1344,0.013489838297873154
gpt_neo,1K,1344,0.04603342978723486
llama2_quant,1K,1344,0.04536270638298025
llama2,1K,1344,0.17547457021276747
gpt3_quant,1K,1344,0.06984806808588413
gpt3,1K,1344,0.2763636765965224
gpt_neo_quant,1K,1408,0.013456902127660389
gpt_neo,1K,1408,0.045947029787234854
llama2_quant,1K,1408,0.045241072340427055
llama2,1K,1408,0.17494743829787385
gpt3_quant,1K,1408,0.06968445957524583
gpt3,1K,1408,0.2705251404263097
gpt_neo_quant,1K,1472,0.013610400000000814
gpt_neo,1K,1472,0.046374842553192304
llama2_quant,1K,1472,0.045831829787235566
llama2,1K,1472,0.17702798297872493
gpt3_quant,1K,1472,0.07036769361779902
gpt3,1K,1472,0.273958978724182
gpt_neo_quant,1K,1536,0.013453225531915709
gpt_neo,1K,1536,0.04581252765957528
llama2_quant,1K,1536,0.045483727659575986
llama2,1K,1536,0.17504456170212918
gpt3_quant,1K,1536,0.06955874042630966
gpt3,1K,1536,0.270979608511416
gpt_neo_quant,1K,1600,0.013305548936171028
gpt_neo,1K,1600,0.045412748936171025
llama2_quant,1K,1600,0.04448691063829939
llama2,1K,1600,0.17266074893617173
gpt3_quant,1K,1600,0.06894035744758625
gpt3,1K,1600,0.2717283574475863
gpt_neo_quant,8K,512,0.01673433191567321
gpt_neo,8K,512,0.0587924425531923
llama2_quant,8K,512,0.05804124255319301
llama2,8K,512,0.19600708085106533
gpt3_quant,8K,512,0.08475462127697041
gpt3,8K,512,0.29767148936207677
gpt_neo_quant,8K,576,0.016958297873120018
gpt_neo,8K,576,0.05626120851063911
llama2_quant,8K,576,0.05561760000000153
llama2,8K,576,0.19452597446808662
gpt3_quant,8K,576,0.08212611063867253
gpt3,8K,576,0.30001955744718317
gpt_neo_quant,8K,640,0.017032340426311507
gpt_neo,8K,640,0.062037753191490165
llama2_quant,8K,640,0.061392255319150456
llama2,8K,640,0.19373535319149088
gpt3_quant,8K,640,0.08546338723441722
gpt3,8K,640,0.29306318297909806
gpt_neo_quant,8K,704,0.01689349787312002
gpt_neo,8K,704,0.0567408510638306
llama2_quant,8K,704,0.056101736170214286
llama2,8K,704,0.20540818723404408
gpt3_quant,8K,704,0.0828154723408002
gpt3,8K,704,0.30182563404292784
gpt_neo_quant,8K,768,0.017002314894396617
gpt_neo,8K,768,0.05678114042553272
llama2_quant,8K,768,0.056067523404256844
llama2,8K,768,0.19909154042553345
gpt3_quant,8K,768,0.08290815319186404
gpt3,8K,768,0.3054844595748427
gpt_neo_quant,8K,832,0.016858570213545553
gpt_neo,8K,832,0.06236502127659656
llama2_quant,8K,832,0.061582774468086625
llama2,8K,832,0.20376975319149088
gpt3_quant,8K,832,0.08232398297909807
gpt3,8K,832,0.3024526468088853
gpt_neo_quant,8K,896,0.01694982127737534
gpt_neo,8K,896,0.05712786382978804
llama2_quant,8K,896,0.05652791489361854
llama2,8K,896,0.20631400851063983
gpt3_quant,8K,896,0.08635669787271509
gpt3,8K,896,0.3078846638301619
gpt_neo_quant,8K,960,0.016982553192268955
gpt_neo,8K,960,0.0569380085106391
llama2_quant,8K,960,0.05645157446808663
llama2,8K,960,0.20924828936170364
gpt3_quant,8K,960,0.0877022808514385
gpt3,8K,960,0.31310650212803426
gpt_neo_quant,8K,1K,0.0168323744688647
gpt_neo,8K,1K,0.056800953191490165
llama2_quant,8K,1K,0.05603545531915046
llama2,8K,1K,0.20168619574468236
gpt3_quant,8K,1K,0.08559737872377893
gpt3,8K,1K,0.305652153191864
gpt_neo_quant,8K,1088,0.018218757447588108
gpt_neo,8K,1088,0.05717407659574549
llama2_quant,8K,1088,0.05660042553191641
llama2,8K,1088,0.2040745531914909
gpt3_quant,8K,1088,0.08989480851101296
gpt3,8K,1088,0.3091014127663321
gpt_neo_quant,8K,1152,0.016938995745460445
gpt_neo,8K,1152,0.05721160851063911
llama2_quant,8K,1152,0.0564793021276611
llama2,8K,1152,0.20618583829787387
gpt3_quant,8K,1152,0.09042648510675765
gpt3,8K,1152,0.30688003404292785
gpt_neo_quant,8K,1216,0.01691504680929023
gpt_neo,8K,1216,0.0567216510638306
llama2_quant,8K,1216,0.05595068936170365
llama2,8K,1216,0.19790420425532065
gpt3_quant,8K,1216,0.0898202553195236
gpt3,8K,1216,0.3010190297876087
gpt_neo_quant,8K,1280,0.01833753191567321
gpt_neo,8K,1280,0.05738430638297953
llama2_quant,8K,1280,0.05700791489361854
llama2,8K,1280,0.20494182127659727
gpt3_quant,8K,1280,0.08401521702165127
gpt3,8K,1280,0.3092049702131406
gpt_neo_quant,8K,1344,0.01711245957524768
gpt_neo,8K,1344,0.05736449361702208
llama2_quant,8K,1344,0.05703262978723557
llama2,8K,1344,0.20514980425532067
gpt3_quant,8K,1344,0.08425634042590657
gpt3,8K,1344,0.3097205106386725
gpt_neo_quant,8K,1408,0.018217429788013637
gpt_neo,8K,1408,0.05715758297872421
llama2_quant,8K,1408,0.0568324595744696
llama2,8K,1408,0.20431342978723555
gpt3_quant,8K,1408,0.08395516595782147
gpt3,8K,1408,0.30775271489399164
gpt_neo_quant,8K,1472,0.018411676596524276
gpt_neo,8K,1472,0.0579032170212774
llama2_quant,8K,1472,0.05714880000000152
llama2,8K,1472,0.2060815659574483
gpt3_quant,8K,1472,0.08781533617058743
gpt3,8K,1472,0.3081636765961193
gpt_neo_quant,8K,1536,0.018387165958226405
gpt_neo,8K,1536,0.05730995744680932
llama2_quant,8K,1536,0.056571829787235565
llama2,8K,1536,0.19768891914893771
gpt3_quant,8K,1536,0.08715094468122574
gpt3,8K,1536,0.3052987914897364
gpt_neo_quant,8K,1600,0.016854638298651935
gpt_neo,8K,1600,0.059870093617022085
llama2_quant,8K,1600,0.05923787234042706
llama2,8K,1600,0.1987503319148951
gpt3_quant,8K,1600,0.08325283404292785
gpt3,8K,1600,0.3049899063833534
